area_rank,priority_band,primary_police_station,recommended_time_window_IST,suggested_patrol_units,operational_impact_score_0_100,records,zone_count,primary_junction,recommended_intervention,representative_location
14,Medium,Vijayanagara,11:00-11:59,2,54.04,1915,4,"BTP016 - 5th Main Road, RPC Layout",carriageway clearance; tow-away readiness,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
15,Watch,Chamarajpet,07:00-07:59,1,53.41,1461,4,BTP048 - Shanthala Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)"
16,Watch,Mahadevapura,10:00-10:59,1,52.99,1821,4,No Junction,carriageway clearance; auto stand regulation; junction approach protection,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
17,Watch,Basavanagudi,11:00-11:59,1,52.5,1650,4,BTP108 - Tagore Park Junction,carriageway clearance; tow-away readiness; junction approach protection,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
18,Watch,City Market,11:00-11:59,1,52.37,1853,5,BTP104 - Medical College Circle,carriageway clearance; auto stand regulation,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)"
19,Watch,Shivajinagar,05:00-05:59,1,52.23,1951,3,BTP042 - Minsk Square Junction (CTO),tow-away readiness; junction approach protection,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
20,Watch,High ground,03:00-03:59,1,50.74,2200,4,BTP032 - Windsor Circle,tow-away readiness,"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
21,Watch,Byatarayanapura,01:00-01:59,1,50.73,1383,4,"BTP095 - Satellite Bus Stand, Mysore Road",carriageway clearance; auto stand regulation; tow-away readiness,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)"
22,Watch,HAL Old Airport,08:00-08:59,1,50.5,1325,2,No Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
23,Watch,Malleshwaram,09:00-09:59,1,49.8,1563,2,No Junction,tow-away readiness; junction approach protection,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (In"
24,Watch,Mahadevapura,01:00-01:59,1,49.27,1168,2,No Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
25,Watch,Jeevanbheemanagar,07:00-07:59,1,49.25,1165,1,No Junction,tow-away readiness; junction approach protection,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)"
26,Watch,Rajajinagar,10:00-10:59,1,49.2,885,3,BTP023 - Mahalaxmi Layout Entrance,tow-away readiness,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
27,Watch,Rajajinagar,03:00-03:59,1,48.71,985,4,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",carriageway clearance; tow-away readiness,"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
28,Watch,Malleshwaram,10:00-10:59,1,48.53,1121,2,No Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
29,Watch,Cubbon Park,11:00-11:59,1,48.06,830,3,BTP063 - Siddalingaiah Circle,carriageway clearance; tow-away readiness,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
30,Watch,HAL Old Airport,03:00-03:59,1,47.77,1002,3,No Junction,carriageway clearance; tow-away readiness; junction approach protection,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
31,Watch,Vijayanagara,05:00-05:59,1,47.77,936,3,"BTP022 - Marenahalli Junction, Vijayanagar",carriageway clearance; tow-away readiness; junction approach protection,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
32,Watch,Magadi Road,10:00-10:59,1,47.23,820,3,BTP074 - Leprosy Hospital Junction,carriageway clearance; auto stand regulation; junction approach protection,"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
33,Watch,Shivajinagar,10:00-10:59,1,46.23,605,2,BTP211 - Central Street Junction,tow-away readiness; junction approach protection,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
34,Watch,Adugodi,09:00-09:59,1,46.22,665,2,BTP135 - UCO Bank Junction,carriageway clearance; tow-away readiness; junction approach protection,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)"
35,Watch,Chikkajala,01:00-01:59,1,45.93,595,1,No Junction,carriageway clearance; tow-away readiness; junction approach protection,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)"
36,Watch,Ashok Nagar,04:00-04:59,1,44.85,609,1,BTP172 - Nanjappa Circle,tow-away readiness,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)"
37,Watch,Vijayanagara,10:00-10:59,1,44.7,467,2,BTP028 - Vijayanagar Bus Stand Junction,tow-away readiness; junction approach protection,"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
38,Watch,Jayanagara,09:00-09:59,1,44.63,552,2,"BTP189 - New Diagonal Road, Jayanagar",tow-away readiness,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
39,Watch,Magadi Road,12:00-12:59,1,44.5,321,1,BTP010 - Rajajinagar Entrance,carriageway clearance; auto stand regulation,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
40,Watch,Vijayanagara,02:00-02:59,1,44.03,418,3,"BTP170 - Dr. Bheem Rao Palace, Chord Road",carriageway clearance; tow-away readiness,"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
